Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
BASKET ALMEDA Equipo,Jornada 12,1.0,200.0,79.0,22.0,45.0,0.49,8.0,16.0,0.5,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,BASKET ALMEDA,TERRA ENDINS CB VILATORRADA,True,4.0
BASKET ALMEDA Equipo,Jornada 13,1.0,200.0,72.0,27.0,48.0,0.56,2.0,17.0,0.12,12.0,18.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,REUS PLOMS SALLE,BASKET ALMEDA,True,11.0
BASKET ALMEDA Equipo,Jornada 14,1.0,200.0,64.0,15.0,41.0,0.37,6.0,19.0,0.32,16.0,28.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,BASKET ALMEDA,CB CERDANYOLA AL DIA A,False,-23.0
BASKET ALMEDA Equipo,Jornada 15,1.0,200.0,89.0,26.0,47.0,0.55,5.0,21.0,0.24,22.0,32.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,C.B. RIPOLLET A,BASKET ALMEDA,True,12.0
BASKET ALMEDA Equipo,Jornada 16,1.0,200.0,62.0,18.0,41.0,0.44,2.0,19.0,0.11,20.0,31.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,BASKET ALMEDA,CLUB NATACIO TERRASSA A,True,4.0
BASKET ALMEDA Equipo,Jornada 17,1.0,200.0,62.0,23.0,47.0,0.49,1.0,18.0,0.06,13.0,22.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,CLOTET SUZUKI SANT BOI A,BASKET ALMEDA,False,-8.0
BASKET ALMEDA Equipo,Jornada 18,1.0,200.0,80.0,22.0,40.0,0.55,7.0,27.0,0.26,15.0,25.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,BASKET ALMEDA,AD TORREFORTA,True,21.0
BASKET ALMEDA Equipo,Jornada 19,1.0,200.0,66.0,19.0,36.0,0.53,4.0,21.0,0.19,16.0,25.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,C.E.B. PALLEJA A - TAXILINE,BASKET ALMEDA,True,9.0
BASKET ALMEDA Equipo,Jornada 20,1.0,200.0,57.0,15.0,33.0,0.45,4.0,24.0,0.17,15.0,25.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,BASKET ALMEDA,CB TARRAGONA B,False,-18.0
BASKET ALMEDA Equipo,Jornada 21,1.0,200.0,60.0,17.0,39.0,0.44,4.0,21.0,0.19,14.0,24.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,BASKET ALMEDA,C.B.CASTELLBISBAL A,False,-10.0
BASKET ALMEDA Equipo,Jornada 22,1.0,200.0,61.0,16.0,33.0,0.48,4.0,18.0,0.22,17.0,25.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,CLUB NATACIO SABADELL A,BASKET ALMEDA,False,-12.0
BASKET ALMEDA Equipo Rival,Jornada 01,1.0,200.0,67.0,17.0,39.0,0.44,7.0,23.0,0.3,12.0,16.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,BASKET ALMEDA,TERRA ENDINS CB VILATORRADA,True,7.0
BASKET ALMEDA Equipo Rival,Jornada 02,1.0,200.0,71.0,16.0,26.0,0.62,6.0,31.0,0.19,21.0,27.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,REUS PLOMS SALLE,BASKET ALMEDA,True,9.0
BASKET ALMEDA Equipo Rival,Jornada 03,1.0,200.0,86.0,25.0,46.0,0.54,7.0,27.0,0.26,15.0,26.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,BASKET ALMEDA,CB CERDANYOLA AL DIA A,True,25.0
BASKET ALMEDA Equipo Rival,Jornada 04,1.0,200.0,81.0,25.0,42.0,0.6,5.0,18.0,0.28,16.0,27.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,C.B. RIPOLLET A,BASKET ALMEDA,True,7.0
BASKET ALMEDA Equipo Rival,Jornada 05,1.0,200.0,68.0,18.0,44.0,0.41,8.0,24.0,0.33,8.0,11.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,BASKET ALMEDA,CLUB NATACIO TERRASSA A,False,-8.0
BASKET ALMEDA Equipo Rival,Jornada 06,1.0,200.0,61.0,22.0,48.0,0.46,3.0,14.0,0.21,8.0,21.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,CLOTET SUZUKI SANT BOI A,BASKET ALMEDA,False,-11.0
BASKET ALMEDA Equipo Rival,Jornada 07,1.0,200.0,64.0,24.0,46.0,0.52,1.0,15.0,0.07,13.0,24.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,BASKET ALMEDA,AD TORREFORTA,False,-15.0
BASKET ALMEDA Equipo Rival,Jornada 08,1.0,200.0,65.0,21.0,40.0,0.53,5.0,17.0,0.29,8.0,11.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,C.E.B. PALLEJA A - TAXILINE,BASKET ALMEDA,False,-13.0
BASKET ALMEDA Equipo Rival,Jornada 09,1.0,200.0,104.0,22.0,45.0,0.49,14.0,30.0,0.47,18.0,25.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,BASKET ALMEDA,CB TARRAGONA B,True,29.0
BASKET ALMEDA Equipo Rival,Jornada 10,1.0,200.0,69.0,20.0,44.0,0.45,5.0,22.0,0.23,14.0,17.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,BASKET ALMEDA,C.B.CASTELLBISBAL A,False,-5.0
